18,42,45,64,69,
8,27,46,48,65,
13,21,44,50,65,
2,18,32,47,55,
10,20,24,33,39,
5,16,20,27,32,
7,23,50,52,63,
13,20,41,45,64,
15,28,44,65,69,
10,19,38,47,53,
3,10,14,29,51,
3,12,36,47,50,
10,13,30,47,58,
10,18,45,52,61,
1,12,37,42,55,
2,7,23,27,54,
3,23,50,52,55,
3,10,13,15,24,
4,27,36,41,48,
19,28,30,42,63,
8,19,34,40,51,
5,24,27,49,56,
2,23,48,53,55,
7,21,30,53,58,
7,18,27,36,40,
2,9,26,45,58,
6,12,20,31,37,
20,28,50,61,63,
10,29,45,47,56,
6,25,35,51,52,
2,29,36,56,63,
7,26,28,41,44,
8,12,23,35,53,
8,10,32,39,57,
1,22,28,31,53,
16,23,28,49,69,
3,10,21,26,55,
7,16,24,41,52,
6,24,36,51,53,
6,25,28,52,55,
9,22,28,31,34,
7,22,36,47,58,
17,19,27,44,48,
4,25,33,58,60,
10,23,26,48,51,
2,28,40,55,57,
14,27,30,61,65,
15,26,45,64,67,
8,15,19,26,34,
8,21,36,49,51,
5,32,42,47,52,
10,17,28,37,39,
4,23,27,31,34,
7,14,27,48,50,
3,20,32,42,57,
4,10,19,29,37,
3,22,47,53,56,
13,20,47,61,70,
2,17,22,39,61,
4,13,18,25,39,
8,20,31,42,47,
16,23,30,45,49,
3,30,46,65,69,
13,23,50,61,70,
10,12,39,47,48,
4,17,20,35,38,
10,12,17,34,53,
4,8,21,27,34,
8,10,31,55,57,
7,18,40,51,60,
5,8,39,44,50,
9,18,28,42,65,
19,22,47,62,65,
2,29,33,39,60,
1,4,27,32,54,
4,29,33,52,53,
4,8,12,27,43,
10,26,33,43,60,
5,10,12,19,30,
13,18,44,65,69,
4,7,22,46,53,
3,22,31,47,56,
4,22,37,51,52,
1,7,24,51,60,
8,27,43,53,56,
10,26,29,31,40,
6,29,45,51,56,
1,8,30,42,53,
10,27,33,41,56,
5,26,28,34,53,
2,18,27,29,45,
16,25,43,50,69,
6,24,32,39,55,
9,13,28,40,56,
9,25,34,39,56,
12,21,24,49,65,
1,10,32,43,69,
6,14,27,32,49,
7,21,22,36,50,
4,6,29,31,44,
8,13,37,49,50,
5,20,34,53,55,
3,10,21,50,60,
3,13,26,31,38,
7,29,38,52,60,
10,24,27,35,40,
3,26,39,57,64,
1,7,32,54,56,
20,23,45,48,65,
2,29,47,49,64,
7,10,20,23,25,
12,25,43,50,61,
21,27,48,50,69,
8,21,26,45,53,
7,19,35,40,64,
5,32,34,49,52,
7,28,41,48,55,
6,28,49,65,70,
7,28,41,51,70,
3,12,26,40,51,
8,25,42,47,55,
4,21,32,51,70,
7,10,15,24,31,
1,3,26,35,52,
12,15,26,44,49,
2,7,23,42,48,
9,18,20,26,53,
2,12,22,33,45,
7,32,46,53,54,
10,25,35,37,56,
1,10,28,31,58,
9,24,50,53,62,
10,20,41,45,58,
16,23,28,42,69,
3,12,33,49,60,
4,8,19,39,63,
7,10,36,41,57,
4,13,19,40,64,
2,9,13,20,37,
3,9,36,42,45,
2,8,23,35,60,
9,28,45,52,63,
3,25,31,46,56,
5,22,28,51,55,
4,5,24,28,49,
12,19,26,43,70,
8,21,28,31,60,
9,12,17,36,39,
3,6,31,45,60,
20,22,41,50,69,
2,25,34,37,42,
2,16,19,41,50,
4,7,24,33,39,
15,27,49,62,64,
10,26,31,37,46,
6,20,36,49,61,
20,23,29,44,49,
8,23,32,39,55,
4,19,34,35,57,
2,21,29,50,53,
13,29,46,62,65,
3,32,38,51,53,
4,16,25,41,60,
13,25,41,50,68,
13,17,24,50,65,
19,25,43,50,64,
8,12,18,29,35,
6,10,27,29,45,
10,23,44,51,60,
2,7,28,48,63,
2,25,32,47,55,
13,27,43,50,62,
1,10,24,45,51,
9,22,24,36,45,
9,26,29,45,60,
8,23,27,32,35,
8,28,31,57,61,
18,20,30,49,65,
19,21,29,42,48,
10,29,42,47,55,
7,14,26,28,41,
2,8,27,46,65,
8,26,37,45,48,
2,25,46,50,55,
9,32,39,54,56,
2,10,31,33,46,
5,24,34,51,60,
2,16,23,49,56,
2,28,34,47,55,
13,15,26,29,48,
5,22,27,32,55,
2,24,33,44,53,
1,22,39,42,44,
5,26,44,51,56,
10,21,35,62,65,
2,15,20,35,37,
10,14,39,62,69,
4,30,41,55,60,
10,21,24,35,52,
7,21,29,52,56,
7,14,31,38,45,
1,24,49,52,60,
7,22,47,52,56,
4,26,29,37,56,
9,26,29,36,53,
7,18,20,23,35,
4,22,27,39,40,
13,24,41,49,64,
1,19,36,40,49,
17,28,50,62,69,
16,20,28,47,69,
7,9,16,39,62,
20,28,30,43,69,
3,12,22,47,69,
7,10,33,35,58,
5,30,39,44,50,
2,3,18,39,60,
3,6,27,50,65,
7,9,28,53,64,
3,28,31,46,52,
2,4,22,37,53,
3,12,23,36,53,
7,10,20,46,57,
4,25,27,40,44,
7,17,30,51,58,
16,30,49,63,69,
12,30,45,47,65,
3,10,23,26,32,
2,18,28,39,61,
16,18,45,65,69,
13,26,30,43,45,
3,28,37,39,52,
2,21,45,54,60,
6,10,30,53,65,
3,10,26,29,46,
4,18,31,45,61,
13,20,24,43,45,
2,4,28,29,43,
7,22,49,58,63,
10,31,33,50,54,
2,26,47,61,69,
10,29,38,44,69,
7,28,32,37,54,
1,26,34,49,55,
9,12,35,56,58,
2,29,34,42,47,
11,20,41,65,70,
6,27,45,54,70,
1,7,24,28,53,
3,10,33,36,53,
10,23,30,53,56,
9,22,28,39,52,
4,15,39,45,70,
14,22,27,45,50,
7,18,35,50,64,
17,26,42,44,65,
5,22,25,36,42,
4,17,20,43,50,
1,10,29,51,60,
8,10,22,37,45,
10,22,47,51,56,
10,18,29,55,65,
5,20,27,54,61,
2,4,17,21,36,
8,17,22,26,31,
16,20,43,61,69,
5,27,44,56,64,
5,27,32,38,52,
2,26,43,45,54,
5,15,20,32,35,
5,29,32,35,42,
4,29,40,52,69,
6,22,28,49,53,
2,9,12,28,33,
3,5,26,28,53,
8,26,31,46,55,
3,27,43,56,60,
2,10,27,43,48,
3,6,13,20,45,
4,33,39,54,56,
2,4,34,51,57,
10,24,41,53,62,
7,20,21,22,32,
1,22,24,39,56,
10,24,30,37,45,
14,16,27,29,45,
3,18,27,31,50,
2,5,24,30,39,
2,26,47,55,70,
13,17,26,48,67,
4,7,25,27,46,
5,7,21,42,56,
2,27,37,40,52,
1,27,48,52,55,
2,15,27,54,60,
6,24,28,31,53,
6,10,21,28,51,
10,27,31,41,54,
7,22,33,35,52,
3,22,35,41,60,
7,14,31,52,70,
9,28,38,55,60,
7,8,17,31,36,
4,10,29,37,53,
2,21,24,48,69,
9,16,22,39,65,
3,10,21,35,36,
1,10,26,30,51,
5,16,31,50,60,
4,29,46,49,60,
11,19,28,41,62,
7,12,30,33,56,
2,17,38,56,65,
7,9,22,32,35,
2,15,17,35,56,
3,4,31,56,63,
5,35,39,52,58,
5,13,36,38,42,
10,13,21,28,33,
4,8,25,28,37,
15,20,27,30,61,
13,20,29,42,63,
10,17,34,48,69,
8,24,26,41,45,
16,20,23,25,49,
5,7,25,36,54,
10,17,19,22,32,
8,10,21,26,31,
13,21,24,44,65,
7,15,28,48,70,
8,32,35,41,44,
2,15,29,32,49,
5,32,45,51,54,
4,7,15,18,35,
5,7,22,26,56,
4,19,34,46,53,
4,12,29,43,54,
7,15,25,32,34,
9,25,39,56,70,
1,28,35,60,70,
9,28,32,34,51,
7,21,48,51,60,
15,25,28,42,45,
10,28,43,61,70,
20,23,29,50,65,
7,9,24,36,39,
10,27,47,69,70,
7,9,26,45,48,
2,5,16,30,45,
10,20,29,36,41,
10,28,43,48,53,
8,13,18,26,35,
12,19,22,46,69,
5,19,22,24,42,
5,31,32,44,45,
7,22,49,57,64,
10,27,30,41,51,
5,32,39,44,56,
2,24,29,31,46,
5,25,48,50,53,
4,9,31,49,62,
20,23,26,49,62,
2,23,34,44,49,
19,43,48,64,69,
2,10,23,29,55,
2,9,22,29,50,
7,14,16,42,61,
7,9,27,56,58,
6,14,35,39,55,
1,25,36,56,64,
11,21,44,50,65,
10,14,35,51,58,
1,28,39,51,54,
2,7,15,30,42,
5,26,30,32,39,
1,10,27,32,40,
6,12,21,27,52,
10,23,27,45,54,
